company_name, Description, Technology, Location, No_of_Employees, Founded, website, linkedIn, reviews
Veriff,"Veriff is a global tech company building a visionary AI driven verification platform.",Artificial Intelligence  Cybersecurity Identity,"📍HQ: Estonia",201-500 ,2015,http://veriff.me/?utm_source=topstartups.io,https://linkedin.com/company/10414399,"https://www.glassdoor.com/Overview/Working-at-Veriff-EI_IE2556702.11,17.htm",
Salt Security,"Salt Security provides an API protection platform designed to prevent attacks by leveraging machine learning and AI.",Cybersecurity Artificial Intelligence  API,"📍HQ: San Francisco Bay Area, California, USA",101-200 ,2016,http://salt.security/?utm_source=topstartups.io,https://linkedin.com/company/saltsecurity,"https://www.glassdoor.com/Overview/Working-at-Salt-Security-EI_IE4882213.11,24.htm",
Ada,"Ada is an automated customer experience company that provides chat bots used in customer support.", Artificial Intelligence Customer Support Chat,"📍HQ: Toronto, Ontario, Canada",201-500 ,2016,http://www.ada.cx/?utm_source=topstartups.io,https://ca.linkedin.com/company/ada-cx,"https://www.glassdoor.com/Overview/Working-at-Ada-EI_IE2396829.11,14.htm",
Vectra AI,"Vectra is a cybersecurity platform that uses AI to detect attackers in real time and perform conclusive incident investigations.",Cybersecurity Artificial Intelligence,"📍HQ: San Francisco Bay Area, California, USA",501-1000 ,2011,http://vectra.ai/?utm_source=topstartups.io,https://www.linkedin.com/company/vectra_ai/,"https://www.glassdoor.com/Reviews/Vectra-AI-Reviews-E1000547.htm",
Viz,"Viz is a medical imaging company that helps optimize emergency treatment using deep learning technology.", Artificial Intelligence Healthcare,"📍HQ: San Francisco Bay Area, California, USA",201-500 ,2016,https://www.viz.ai/?utm_source=topstartups.io,https://linkedin.com/company/17897131,"https://www.glassdoor.com/Reviews/Viz-ai-Reviews-E2931272.htm",
People.ai,"People is an AI platform for enterprise sales, marketing, and customer success that uncovers revenue opportunities.",Artificial Intelligence Enterprise Software,"📍HQ: San Francisco Bay Area, California, USA",201-500 ,2016,http://people.ai/?utm_source=topstartups.io,https://linkedin.com/company/people.ai,"https://www.glassdoor.com/Overview/Working-at-People-ai-EI_IE1554499.11,20.htm",
OpenAI,"OpenAI is a nonprofit AI research company, discovering and enacting the path to safe artificial general intelligence.",Nonprofit Artificial Intelligence,"📍HQ: San Francisco Bay Area, California, USA",101-200 ,2015,http://www.openai.com/blog/?utm_source=topstartups.io,https://www.linkedin.com/company/openai/,"https://www.glassdoor.com/Overview/Working-at-OpenAI-EI_IE2210885.11,17.htm",
Shift Technology,"Shift Technology provides AI-driven decision automation and optimization for the global insurance industry.",Artificial Intelligence Insurance Fraud Detection,"📍HQ: Paris, France",201-500 ,2014,http://www.shift-technology.com/?utm_source=topstartups.io,https://linkedin.com/company/shift-technology,"https://www.glassdoor.com/Overview/Working-at-Shift-Technology-EI_IE1369971.11,27.htm",
Standard Cognition,"Standard Cognition provides an autonomous checkout tool that can be installed into retailers’ existing stores.", Artificial Intelligence Hardware Retail,"📍HQ: San Francisco Bay Area, California, USA",101-200 ,2017,http://standard.ai?utm_source=topstartups.io,https://linkedin.com/company/standardcognition.com,"https://www.glassdoor.com/Overview/Working-at-Standard-Cognition-EI_IE2105364.11,29.htm",
SiSense,"Sisense is the leading AI-driven platform for infusing analytics everywhere.",SaaS Analytics Artificial Intelligence,"📍HQ: New York, New York, USA",501-1000 ,2010,http://www.sisense.com?utm_source=topstartups.io,https://linkedin.com/company/sisense,"https://www.glassdoor.com/Reviews/Sisense-Reviews-E881230.htm",
Vise,"Vise is an AI-driven portfolio management platform for financial advisors.",FinTech  Artificial Intelligence,"📍HQ: New York, New York, USA",101-200 ,2016,http://vise.com/?utm_source=topstartups.io,https://linkedin.com/company/viseinc,"https://www.glassdoor.com/Overview/Working-at-Vise-EI_IE2480614.11,15.htm",
Pindrop Security,"Pindrop uses AI-based Authentication and Anti-Fraud Solutions to increase efficiency in call centers and stop fraudulent transactions.",Cybersecurity  Fraud Detection  Artificial Intelligence,"📍HQ: Atlanta, Georgia, USA",201-500 ,2011,http://www.pindrop.com?utm_source=topstartups.io,https://linkedin.com/company/pindrop,"https://www.glassdoor.com/Reviews/Pindrop-Reviews-E709157.htm",
Labelbox,"Labelbox creates and manages labeled data for machine learning applications.",Enterprise Software ML Infrastructure Artificial Intelligence,"📍HQ: San Francisco Bay Area, California, USA",101-200 ,2018,http://www.labelbox.com/?utm_source=topstartups.io,https://linkedin.com/company/labelbox,"https://www.glassdoor.com/Reviews/Labelbox-Reviews-E2014427.htm",
Tempo,"Tempo is a home fitness platform, combining equipment, training, and social motivation with 3D sensors and artificial intelligence.",Healthcare Fitness  Artificial Intelligence  Hardware,"📍HQ: San Francisco Bay Area, California, USA",201-500 ,2015,http://tempo.fit/?utm_source=topstartups.io,https://linkedin.com/company/tempofit,"https://www.glassdoor.com/Overview/Working-at-Tempo-EI_IE4399939.11,16.htm",
Deep Genomics,"Deep Genomics is using artificial intelligence to build a new universe of life-saving genetic therapies.", Artificial Intelligence Biotech Healthcare,"📍HQ: Toronto, Ontario, Canada",101-200 ,2014,http://www.deepgenomics.com?utm_source=topstartups.io,https://linkedin.com/company/deep-genomics,"https://www.glassdoor.com/Overview/Working-at-Deep-Genomics-EI_IE1938810.11,24.htm",
SoundHound,"SoundHound is the innovator in voice-enabled AI and conversational intelligence technologies.",Artificial Intelligence  Speech Recognition  NLP,"📍HQ: San Francisco Bay Area, California, USA",201-500 ,2005,http://soundhound.com?utm_source=topstartups.io,https://www.linkedin.com/company/soundhoundinc/,"https://www.glassdoor.com/Overview/Working-at-SoundHound-EI_IE462779.11,21.htm",
Tessian,"Tessian creates a Human Layer Security that helps people work without security disruptions getting in the way.",Artificial Intelligence Cybersecurity,"📍HQ: London, England, United Kingdom",101-200 ,2013,http://www.tessian.com/?utm_source=topstartups.io,https://linkedin.com/company/checkrecipient,"https://www.glassdoor.com/Overview/Working-at-Tessian-EI_IE1769981.11,18.htm",
AEye,"AEye develops advanced vision hardware, software and algorithms that act as the eyes and visual cortex of autonomous vehicles.",Artificial Intelligence Autonomous Vehicles Hardware Data Science,"📍HQ: San Francisco Bay Area, California, USA",101-200 ,2013,http://www.aeye.ai?utm_source=topstartups.io,https://linkedin.com/company/aeye-inc.,"https://www.glassdoor.com/Overview/Working-at-AEye-EI_IE1978309.11,15.htm",
Domino Data Lab,"Domino Data Lab utilizes data science and AI for collaboration, model deployment, and centralizing infrastructure.",Artificial Intelligence Data Science  Analytics Enterprise Software,"📍HQ: San Francisco Bay Area, California, USA",201-500 ,2013,http://www.DominoDataLab.com?utm_source=topstartups.io,https://linkedin.com/company/domino-data-lab,"https://www.glassdoor.com/Overview/Working-at-Domino-Data-Lab-EI_IE969972.11,26.htm",
Jerry,"Jerry is an AI, ML, and bot-powered car ownership app that saves customers time and money on car expenses.",Auto Insurance  Artificial Intelligence,"📍HQ: San Francisco Bay Area, California, USA",201-500 ,2017,http://getjerry.com/?utm_source=topstartups.io,https://linkedin.com/company/jerryinc,"https://www.glassdoor.com/Overview/Working-at-Jerry-EI_IE3856415.11,16.htm",
voxelcloud,"VoxelCloud provides medical image analysis and diagnosis assistance based on AI and cloud computing technologies.", Artificial Intelligence Healthcare Diagnostics,"📍HQ: Los Angeles, California, USA",11-50 ,2016,http://www.voxelcloud.io?utm_source=topstartups.io,https://linkedin.com/company/voxelcloud,"https://www.glassdoor.com/Overview/Working-at-VoxelCloud-EI_IE2502848.11,21.htm",
Osaro,"Osaro is an AI company developing products based on proprietary deep reinforcement learning technology.",Data Science ML Robotics Hardware Artificial Intelligence,"📍HQ: San Francisco Bay Area, California, USA",51-100 ,2015,http://www.osaro.com/?utm_source=topstartups.io,https://www.linkedin.com/company/osaroinc/,"https://www.glassdoor.com/Overview/Working-at-Osaro-EI_IE1434253.11,16.htm",
Lilt,"Lilt is the modern language service and technology provider enabling localized customer experiences.",Artificial Intelligence Enterprise Software,"📍HQ: San Francisco Bay Area, California, USA",201-500 ,2015,http://www.lilt.com?utm_source=topstartups.io,https://www.linkedin.com/company/lilthq/,"https://www.glassdoor.com/Overview/Working-at-Lilt-EI_IE1520568.11,15.htm",
Crosschq,"Crosschq is a technology platform that provides a human intelligence-based hiring platform.",  Artificial Intelligence Recruiting  Enterprise Software,"📍HQ: San Francisco Bay Area, California, USA",51-100 ,2018,http://crosschq.com/?utm_source=topstartups.io,https://www.linkedin.com/company/crosschq,"https://www.glassdoor.com/Overview/Working-at-Crosschq-EI_IE2363692.11,19.htm",
Bot, M.D.,"Your friendly A.I. clinical assistant. I provide doctors with a smarter, simpler way to search clinical content.",Artificial Intelligence Healthcare,"📍HQ: San Francisco Bay Area, California, USA",11-50 ,2018,http://www.botmd.io/en/?utm_source=topstartups.io,https://linkedin.com/company/botmd,"https://www.glassdoor.com/Overview/Working-at-Bot-M-D-EI_IE2308339.11,18.htm",
Mad Street Den,"Mad Street Den is a computer vision and artificial intelligence startup.", Artificial Intelligence Computer Vision,"📍HQ: San Francisco Bay Area, California, USA",201-500 ,2013,http://www.madstreetden.com?utm_source=topstartups.io,https://linkedin.com/company/mad-street-den,"https://www.glassdoor.com/Reviews/Mad-Street-Den-Systems-Reviews-E904467.htm",
Atomwise,"Atomwise develops artificial intelligence systems using powerful deep learning algorithms and supercomputers for drug discovery.", Artificial Intelligence Healthcare Pharma,"📍HQ: San Francisco Bay Area, California, USA",51-100 ,2012,http://atomwise.com?utm_source=topstartups.io,https://linkedin.com/company/atomwise,"https://www.glassdoor.com/Overview/Working-at-Atomwise-EI_IE1768812.11,19.htm",
Observe.AI,"Observe.AI develops a voice AI platform for contact centers, turning agents into top performers.",Artificial Intelligence Sales  Enterprise Software,"📍HQ: San Francisco Bay Area, California, USA",201-500 ,2017,http://observe.ai/?utm_source=topstartups.io,https://linkedin.com/company/observeai,"https://www.glassdoor.com/Overview/Working-at-Observe-AI-EI_IE2091796.11,21.htm",
HyperScience,"Hyperscience develops AI-based enterprise software designed to automate office work processes.",Artificial Intelligence  Enterprise Software,"📍HQ: New York, New York, USA",201-500 ,2013,http://www.hyperscience.com/?utm_source=topstartups.io,https://www.linkedin.com/company/hyperscience/,"https://www.glassdoor.com/Overview/Working-at-Hyperscience-EI_IE1321145.11,23.htm",
Dyno Therapeutics,"Dyno Therapeutics uses artificial intelligence for gene therapy.",Healthcare Biotech Artificial Intelligence,"📍HQ: Boston, Massachusetts, USA",51-100 ,2018,http://www.dynotx.com/?utm_source=topstartups.io,https://linkedin.com/company/dynotx,"https://www.glassdoor.com/Overview/Working-at-Dyno-Therapeutics-EI_IE2855258.11,28.htm",
Tecton.AI,"Tecton provides an enterprise-ready feature store to make machine learning accessible to every company.",Enterprise Software  ML Infrastructure  Artificial Intelligence,"📍HQ: San Francisco Bay Area, California, USA",51-100 ,2019,http://www.tecton.ai?utm_source=topstartups.io,https://linkedin.com/company/tectonai,"https://www.glassdoor.com/Overview/Working-at-Tecton-Inc-EI_IE4696204.11,21.htm",
Aisera,"AISERA provides AI Service Experience solutions for enterprises to automate IT tasks and workflows with conversational AI and RPA.",  Artificial Intelligence Sales Automation,"📍HQ: San Francisco Bay Area, California, USA",101-200 ,2017,http://aisera.com/?utm_source=topstartups.io,https://linkedin.com/company/aisera,"https://www.glassdoor.com/Reviews/Aisera-Reviews-E2270483.htm",
Rigetti Computing,"Rigetti Computing is a full-stack quantum computing company that designs and manufactures integrated circuits.",Hardware Artificial intelligence,"📍HQ: San Francisco Bay Area, California, USA",101-200 ,2013,http://rigetti.com/?utm_source=topstartups.io,https://www.linkedin.com/company/rigetti-computing/,"https://www.glassdoor.com/Overview/Working-at-Rigetti-Computing-EI_IE890284.11,28.htm",
Deepcell,"Deepcell uses AI to isolate and capture cells based on morphological features, for multiple research and translational applications",Healthcare  Biotech  Artificial Intelligence,"📍HQ: San Francisco Bay Area, California, USA",51-100 ,2017,http://www.deepcellbio.com/?utm_source=topstartups.io,https://linkedin.com/company/deepcell-inc,"https://www.glassdoor.com/Reviews/Deepcell-Reviews-E4989129.htm",
Built Robotics,"Built Robotics develops automated guidance systems for the 1 trillion heavy equipment industry.",Robotics Hardware Artificial Intelligence Construction,"📍HQ: San Francisco Bay Area, California, USA",11-50 ,2016,http://www.builtrobotics.com/?utm_source=topstartups.io,https://linkedin.com/company/builtrobotics,"https://www.glassdoor.com/Overview/Working-at-Built-Robotics-EI_IE3110633.11,25.htm",
Sisu,"Sisu is a decision intelligence engine that delivers insights and monitors metrics for businesses",Analytics Artificial Intelligence  Enterprise Software ,"📍HQ: San Francisco Bay Area, California, USA",51-100 ,2018,http://sisu.ai/?utm_source=topstartups.io,https://linkedin.com/company/sisu-data,"https://www.glassdoor.com/Overview/Working-at-Sisu-Data-EI_IE3255807.11,20.htm",
VergeSense,"VergeSense is a software-as-a-service company that develops artificial intellegence-powered workplace sensors.",SaaS Artificial Intelligence Sensors Hardware,"📍HQ: San Francisco Bay Area, California, USA",51-100 ,2017,http://vergesense.com/?utm_source=topstartups.io,https://linkedin.com/company/vergesense,"https://www.glassdoor.com/Overview/Working-at-VergeSense-EI_IE3258066.11,21.htm",
Bidgely,"Bidgely tells you how much energy your appliances use and crafts personalized recommendations to save.",Artificial Intelligence  Energy,"📍HQ: San Francisco Bay Area, California, USA",101-200 ,2010,http://www.bidgely.com/?utm_source=topstartups.io,https://linkedin.com/company/bidgely,"https://www.glassdoor.com/Reviews/Bidgely-Reviews-E745821.htm",
Physna,"Physna is a geometric deep-learning and 3D search company that searches, compares, and analyzes 3D models.",3DTech Artificial Intelligence,"📍HQ: Columbus, Ohio, USA",51-100 ,2015,https://physna.com/?utm_source=topstartups.io,https://www.linkedin.com/company/physna,"https://www.glassdoor.com/Overview/Working-at-Physna-EI_IE3209683.11,17.htm",
AMP Robotics,"AMP Robotics creates AI-based robotic systems that sort recyclable material at a fraction of the cost of current technology.", Artificial Intelligence Sustainability Hardware,"📍HQ: Boulder, Colorado, USA",101-200 ,2015,http://amprobotics.com?utm_source=topstartups.io,https://www.linkedin.com/company/amp-robotics/,"https://www.glassdoor.com/Overview/Working-at-AMP-Robotics-EI_IE1754764.11,23.htm",
Caption Health,"Caption Health uses AI to interpret ultrasound exams.",Artificial Intelligence  Healthcare Medical,"📍HQ: San Francisco Bay Area, California, USA",51-100 ,2013,http://www.captionhealth.com/?utm_source=topstartups.io,https://www.linkedin.com/company/caption-health/,"https://www.glassdoor.com/Overview/Working-at-Caption-Health-EI_IE1419051.11,25.htm",
Robin Healthcare,"AI medical scribe that takes care of medical documentation",Healthcare  Artificial Intelligence,"📍HQ: San Francisco Bay Area, California, USA",201-500 ,2017,https://www.robinhealthcare.com/?utm_source=topstartups.io,https://www.linkedin.com/company/robin-healthcare/,"https://www.glassdoor.com/Overview/Working-at-Robin-Healthcare-EI_IE2017844.11,27.htm",
Synthesia,"Building AI avatars that generate professional videos in minutes",SaaS Artificial Intelligence  Videos,"📍HQ: London, England, United Kingdom",101-200 ,2017,http://www.synthesia.io/?utm_source=topstartups.io,https://www.linkedin.com/company/synthesia-technologies/,"https://www.glassdoor.com/Overview/Working-at-Synthesia-EI_IE4421112.11,20.htm",
Abacus.AI,"Abacus.AI is an artificial intelligence research and AI cloud services company.",Data Science Artificial Intelligence Research,"📍HQ: San Francisco Bay Area, California, USA",11-50 ,2019,http://realityengines.ai/?utm_source=topstartups.io,https://linkedin.com/company/realityengines,"https://www.glassdoor.com/Overview/Working-at-Abacus-AI-EI_IE2854912.11,20.htm",
Orbital Insight,"Builds SaaS technology to understand what happens on and to the Earth with AI and machine learning",Analytics  Artificial Intelligence,"📍HQ: San Francisco Bay Area, California, USA",51-100 ,2013,http://www.orbitalinsight.com?utm_source=topstartups.io,https://linkedin.com/company/orbital-insight-inc-,"https://www.glassdoor.com/Overview/Working-at-Orbital-Insight-EI_IE1325787.11,26.htm",
Cape Analytics,"Cape Analytics provides AI and analytics services for properties.",Artificial Intelligence  Real Estate  Analytics,"📍HQ: San Francisco Bay Area, California, USA",51-100 ,2014,http://capeanalytics.com/?utm_source=topstartups.io,https://www.linkedin.com/company/capeanalytics/,"https://www.glassdoor.com/Overview/Working-at-Cape-Analytics-EI_IE1630187.11,25.htm",
Rasa,"Rasa is the leading open source machine learning toolkit that lets developers build conversational bots.",Natural Language Processing Artificial Intelligence  Enterprise Software,"📍HQ: Berlin, Germany",101-200 ,2016,http://rasa.com/?utm_source=topstartups.io,https://www.linkedin.com/company/rasa./,"https://www.glassdoor.com/Overview/Working-at-Rasa-Technologies-EI_IE1888472.11,28.htm",
PolyAI,"PolyAI develops a machine learning platform for conversational artificial intelligence.",Data Science Machine Learning Artificial Intelligence,"📍HQ: London, England, United Kingdom",101-200 ,2017,http://poly-ai.com/?utm_source=topstartups.io,https://linkedin.com/company/18328585,"https://www.glassdoor.com/Overview/Working-at-PolyAI-EI_IE2360836.11,17.htm",
Callsign,"Delivering digital trust through simple secure customer interactions",Enterprise Software Cybersecurity Artificial Intelligence ,"📍HQ: London, England, United Kingdom",201-500 ,2011,http://www.callsign.com?utm_source=topstartups.io,https://linkedin.com/company/callsign,"https://www.glassdoor.com/Overview/Working-at-Callsign-EI_IE1269836.11,19.htm",
Deepgram,"Deepgram is an AI Speech Platform that provides developers with a simple to use Speech-to-Text API",API Natural Language Processing Speech Recognition Artificial Intelligence,"📍HQ: San Francisco Bay Area, California, USA",101-200 ,2015,http://www.deepgram.com/?utm_source=topstartups.io,https://linkedin.com/company/deepgram,"https://www.glassdoor.com/Overview/Working-at-Deepgram-EI_IE1404455.11,19.htm",
Facilio,"Facilio is a management software that employs IoT and machine learning to help manage buildings.",Data Science Machine Learning Artificial Intelligence  Enterprise Software,"📍HQ: Atlanta, Georgia, USA",51-100 ,2017,http://www.facilio.com?utm_source=topstartups.io,https://www.linkedin.com/company/facilio-inc,"https://www.glassdoor.com/Overview/Working-at-Facilio-EI_IE2972408.11,18.htm",
Optimal Dynamics,"Using AI and ML to transform the logistics industry",Artificial Intelligence  Logistics,"📍HQ: Remote",51-100 ,2017,https://www.optimaldynamics.com/?utm_source=topstartups.io,https://www.linkedin.com/company/optimaldynamics,"https://www.glassdoor.com/Overview/Working-at-Optimal-Dynamics-EI_IE1724983.11,27.htm",
Blue Hexagon,"Blue Hexagon offers an on-device machine learning-based malware detection.",Cybersecurity Artificial Intelligence  ML,"📍HQ: San Francisco Bay Area, California, USA",11-50 ,2017,http://bluehexagon.ai/?utm_source=topstartups.io,https://linkedin.com/company/blue-hexagon-inc,"https://www.glassdoor.com/Overview/Working-at-Blue-Hexagon-EI_IE2537154.11,23.htm",
AssemblyAI,"Building #1 rated API to transcribe and understand audio data",Artificial Intelligence  Speech Recognition  Enterprise Software,"📍HQ: Remote",51-100 ,2017,https://www.assemblyai.com/?utm_source=topstartups.io,https://www.linkedin.com/company/assemblyai/,"https://www.glassdoor.com/Reviews/AssemblyAI-Reviews-E4953587.htm",
Neural Magic,"Machine learning without limits",Machine Learning Artificial Intelligence Software,"📍HQ: Boston, Massachusetts, USA",11-50 ,2017,http://neuralmagic.com/?utm_source=topstartups.io,https://linkedin.com/company/neural-magic,"https://www.glassdoor.com/Overview/Working-at-Neural-Magic-EI_IE3089234.11,23.htm",
Curai Health,"Curai Health is a virtual care company that uses AI to provide chat-based primary care at a lower cost.", Healthcare  Artificial Intelligence  ,"📍HQ: San Francisco Bay Area, California, USA",51-100 ,2017,http://curaihealth.com/?utm_source=topstartups.io,https://linkedin.com/company/curai,"https://www.glassdoor.com/Reviews/Curai-Reviews-E2925569.htm",
AI Foundation,"The AI Foundation’s mission is to move humanity forward through the power of decentralized, trusted, personal AI.", Artificial Intelligence Nonprofit,"📍HQ: San Francisco Bay Area, California, USA",51-100 ,2017,http://aifoundation.com?utm_source=topstartups.io,https://linkedin.com/company/ai-foundation,"https://www.glassdoor.com/Overview/Working-at-AI-Foundation-EI_IE1872205.11,24.htm",
D-ID,"Turning images & videos into Creative Reality experiences",Image Recognition Artificial Intelligence,"📍HQ: Tel Aviv, Israel",51-100 ,2017,http://www.d-id.com/?utm_source=topstartups.io,https://linkedin.com/company/deidentification,"https://www.glassdoor.com/Overview/Working-at-D-ID-EI_IE3111543.11,15.htm",
Drishti,"Drishti is a provider of AI-powered video analytics technology that gives visibility and insights for manual assembly line improvement.",Analytics Artificial Intelligence Software ,"📍HQ: San Francisco Bay Area, California, USA",101-200 ,2017,http://drishti.com/?utm_source=topstartups.io,https://linkedin.com/company/drishtilabs,"https://www.glassdoor.com/Overview/Working-at-Drishti-Technologies-EI_IE2196931.11,31.htm",
Kneron,"Kneron develops an application-specific integrated circuit and software that offers artificial intelligence-based tools.", Artificial Intelligence Hardware  Software,"📍HQ: San Diego, California, USA",51-100 ,2015,http://www.kneron.com/?utm_source=topstartups.io,https://linkedin.com/company/kneron,"https://www.glassdoor.com/Overview/Working-at-Kneron-EI_IE2387836.11,17.htm",
Acalvio Technologies,"Acalvio provides Advanced Threat Defense solutions to detect, engage, and respond to malicious activity inside the perimeter.",Cybersecurity Data Science Machine Learning Artificial Intelligence,"📍HQ: San Francisco Bay Area, California, USA",51-100 ,2015,http://www.acalvio.com?utm_source=topstartups.io,https://linkedin.com/company/acalvio-technologies,"https://www.glassdoor.com/Overview/Working-at-Acalvio-EI_IE2168047.11,18.htm",
Iris Automation,"We are building revolutionary new ways for drones and unmanned systems to see and navigate the world.",Hardware Artificial Intelligence Space Drones,"📍HQ: San Francisco Bay Area, California, USA",51-100 ,2015,http://www.irisonboard.com/?utm_source=topstartups.io,https://linkedin.com/company/iris-automation,"https://www.glassdoor.com/Overview/Working-at-Iris-Automation-CA-EI_IE1908802.11,29.htm",
Abridge,"Build audio-based system to record and summarize medical conversations",Healthcare  Artificial Intelligence,"📍HQ: Pittsburgh, Pennsylvania, USA",11-50 ,2018,http://abridge.com/?utm_source=topstartups.io,https://linkedin.com/company/abridge-ai,"https://www.glassdoor.com/Overview/Working-at-Abridge-EI_IE3146134.11,18.htm",
Phiar Technologies,"Phiar's Ultra-lightweight Spatial AI Engine enables vehicles to perceive its surroundings, and powers our first use case in AR Navigation.",Autonomous Vehicles Data Science Deep Learning Artificial Intelligence,"📍HQ: San Francisco Bay Area, California, USA",11-50 ,2017,http://www.phiar.net?utm_source=topstartups.io,https://www.linkedin.com/company/phiar,"https://www.glassdoor.com/Overview/Working-at-Phiar-Technologies-EI_IE3238398.11,29.htm",
lexion.ai,"Lexion is an AI-powered contract management startup",Artificial Intelligence  Enterprise Software ,"📍HQ: Seattle, Washington, USA",11-50 ,2018,http://lexion.ai/?utm_source=topstartups.io,https://linkedin.com/company/lexion-ai,"https://www.glassdoor.com/Overview/Working-at-Lexion-EI_IE4843047.11,17.htm",
Avvir,"Avvir uses laser scans and AI to catch construction mistakes, and monitor construction progress.",Construction  Artificial Intelligence,"📍HQ: New York, New York, USA",11-50 ,2017,http://avvir.io/?utm_source=topstartups.io,https://linkedin.com/company/avvir,"https://www.glassdoor.com/Overview/Working-at-Aviir-EI_IE821857.11,16.htm",
AI2,"AI2 is an artificial intelligence research institute and start-up incubator.",Artificial Intelligence  Research  Startup Incubator,"📍HQ: Seattle, Washington, USA",201-500 ,2015,https://allenai.org/?utm_source=topstartups.io,https://www.linkedin.com/company/allen-ai/,"https://www.glassdoor.com/Reviews/Employee-Review-Allen-Institute-for-AI-RVW4699774.htm",
Pixie,"We build machine intelligence systems which empower developers to engineer the future.",Artificial Intelligence  Developer Tools  Enterprise Software,"📍HQ: San Francisco Bay Area, California, USA",11-50 ,2018,http://pixielabs.ai/?utm_source=topstartups.io,https://linkedin.com/company/pixieai,"https://www.glassdoor.com/Overview/Working-at-Pixie-Services-EI_IE1598655.11,25.htm",
CrowdAI,"CrowdAI empowers organizations to create and deploy custom models for visual AI, in a simple, code-free platform.",Image Recognition Data Science Hardware Artificial Intelligence Drones,"📍HQ: San Francisco Bay Area, California, USA",11-50 ,2016,http://crowdai.com/?utm_source=topstartups.io,https://linkedin.com/company/18144927,"https://www.glassdoor.com/Overview/Working-at-CrowdAI-EI_IE4292779.11,18.htm",
